bank_id,card_no,unique_id,transaction_id,amount,merchant_name,merchant_id,merchant_category,merchant_location,timestamp,Tag(high/low income),Tag (frequent/infrequent buyer),,,
33,**************,10033,10000,154,McDonalds,7,Restaurant,Dombivali,1455281753,,,,2/12/2016,McDonalds
6,**************,10006,10001,1286,Snapdeal,5,Ecommerce,Panvel,1456166797,,,,2/22/2016,Snapdeal
38,**************,10038,10002,1296,ZARA,15,Fashion,Matunga,1455915411,,,,2/19/2016,ZARA
42,**************,10042,10003,1458,Jabong,14,Ecommerce,Santa cruz,1456924774,,,,3/2/2016,Jabong
4,**************,10004,10004,562,KFC,14,Restaurant,Sion,1454687109,,,,2/5/2016,KFC
20,**************,10020,10005,1901,LEVIS,9,Fashion,Sakinaka,1457260370,,,,3/6/2016,LEVIS
25,**************,10025,10006,1814,ZARA,12,Fashion,Kalyan,1456084352,,,,2/21/2016,Dominos
2,**************,10002,10007,1991,Dominos,6,Restaurant,Marine lines,1454910805,,,,2/8/2016,Subway
11,**************,10011,10008,543,Subway,7,Restaurant,Sakinaka,1456074314,,,,2/21/2016,YATRA
47,**************,10047,10009,1562,YATRA,8,Travel,Kanjurmarg,1456784649,,,,2/29/2016,FLIPKART
13,**************,10013,10010,1467,FLIPKART,14,Ecommerce,Dadar,1455116786,,,,2/10/2016,MAKEMYTRIP
13,**************,10013,10011,1820,FLIPKART,9,Ecommerce,Mulund,1455542492,,,,2/15/2016,Red Chilli
20,**************,10020,10012,1478,MAKEMYTRIP,12,Travel,Ghatkopar,1454377941,,,,2/2/2016,Travel Triangle
19,**************,10019,10013,1967,KFC,4,Restaurant,Ghatkopar,1456897450,,,,3/2/2016,Adoro
31,**************,10031,10014,1373,Red Chilli,11,Restaurant,Kanjurmarg,1455954919,,,,2/20/2016,Shopclues
50,**************,10050,10015,607,Travel Triangle,9,Travel,Andheri,1454763732,,,,2/6/2016,
31,**************,10031,10016,552,Snapdeal,6,Ecommerce,Mulund,1456889417,,,,3/2/2016,
11,**************,10011,10017,389,KFC,3,Restaurant,Marine lines,1456344495,,,,2/24/2016,
12,**************,10012,10018,638,McDonalds,2,Restaurant,Sakinaka,1455015819,,,,2/9/2016,
27,**************,10027,10019,1215,FLIPKART,14,Ecommerce,Sion,1455797948,,,,2/18/2016,
29,**************,10029,10020,340,YATRA,13,Travel,Mulund,1455694010,,,,2/17/2016,
45,**************,10045,10021,724,Travel Triangle,4,Travel,Sakinaka,1457236488,,,,3/6/2016,
12,**************,10012,10022,885,Adoro,7,Fashion,Andheri,1454415101,,,,2/2/2016,
22,**************,10022,10023,1517,Red Chilli,7,Restaurant,Sakinaka,1455216914,,,,2/11/2016,
8,**************,10008,10024,330,Shopclues,5,Ecommerce,Colaba,1456319242,,,,2/24/2016,
49,**************,10049,10025,1114,Subway,8,Restaurant,Andheri,1454383813,,,,2/2/2016,
38,**************,10038,10026,1594,Adoro,3,Fashion,Colaba,1455675691,,,,2/17/2016,
12,**************,10012,10027,608,Dominos,1,Restaurant,Sakinaka,1455877649,,,,2/19/2016,
43,**************,10043,10028,1158,McDonalds,6,Restaurant,Dombivali,1454589675,,,,2/4/2016,
16,**************,10016,10029,651,Jabong,7,Ecommerce,Santa cruz,1454583581,,,,2/4/2016,
10,**************,10010,10030,767,Red Chilli,3,Restaurant,Mulund,1454908813,,,,2/8/2016,
17,**************,10017,10031,905,FLIPKART,5,Ecommerce,Kanjurmarg,1455606988,,,,2/16/2016,
41,**************,10041,10032,1365,FLIPKART,13,Ecommerce,wadala,1456996784,,,,3/3/2016,
29,**************,10029,10033,497,Snapdeal,2,Ecommerce,Ghatkopar,1455383948,,,,2/13/2016,
8,**************,10008,10034,1024,Adoro,15,Fashion,wadala,1454321009,,,,2/1/2016,
28,**************,10028,10035,952,McDonalds,4,Restaurant,Sion,1456131945,,,,2/22/2016,
46,**************,10046,10036,546,KFC,2,Restaurant,Santa cruz,1454466654,,,,2/3/2016,
6,**************,10006,10037,617,Travel Triangle,3,Travel,Santa cruz,1455313897,,,,2/12/2016,
43,**************,10043,10038,1574,Adoro,11,Fashion,wadala,1456489849,,,,2/26/2016,
33,**************,10033,10039,1252,McDonalds,10,Restaurant,Matunga,1455931987,,,,2/20/2016,
19,**************,10019,10040,1131,KFC,8,Restaurant,Matunga,1455302939,,,,2/12/2016,
0,**************,10000,10041,195,McDonalds,6,Restaurant,Powai,1455974579,,,,2/20/2016,
7,**************,10007,10042,1842,Snapdeal,15,Ecommerce,Colaba,1456172993,,,,2/22/2016,
41,**************,10041,10043,1679,McDonalds,1,Restaurant,Sion,1456060896,,,,2/21/2016,
45,**************,10045,10044,1714,FLIPKART,12,Ecommerce,Dombivali,1456756577,,,,2/29/2016,
32,**************,10032,10045,1307,Jabong,5,Ecommerce,Santa cruz,1455555359,,,,2/15/2016,
30,**************,10030,10046,886,McDonalds,15,Restaurant,Santa cruz,1455546813,,,,2/15/2016,
1,**************,10001,10047,172,MAKEMYTRIP,2,Travel,Andheri,1454747597,,,,2/6/2016,
17,**************,10017,10048,1591,Travel Triangle,12,Travel,Mulund,1456630313,,,,2/28/2016,
13,**************,10013,10049,1271,McDonalds,14,Restaurant,Colaba,1455859448,,,,2/19/2016,
26,**************,10026,10050,132,ZARA,3,Fashion,Marine lines,1457056155,,,,3/4/2016,
0,**************,10000,10051,360,FLIPKART,3,Ecommerce,Chandivali,1456928532,,,,3/2/2016,
6,**************,10006,10052,1510,ZARA,6,Fashion,Ghatkopar,1454761441,,,,2/6/2016,
24,**************,10024,10053,1830,Shopclues,5,Ecommerce,Powai,1456013491,,,,2/21/2016,
0,**************,10000,10054,802,Subway,12,Restaurant,Panvel,1455687432,,,,2/17/2016,
22,**************,10022,10055,282,FLIPKART,15,Ecommerce,Sion,1456597503,,,,2/27/2016,
33,**************,10033,10056,1867,Shopclues,11,Ecommerce,Matunga,1456577778,,,,2/27/2016,
1,**************,10001,10057,1488,Subway,7,Restaurant,Panvel,1456140867,,,,2/22/2016,
37,**************,10037,10058,270,Travel Triangle,14,Travel,Sakinaka,1455523870,,,,2/15/2016,
0,**************,10000,10059,590,FLIPKART,1,Ecommerce,Andheri,1455179261,,,,2/11/2016,
3,**************,10003,10060,1833,McDonalds,12,Restaurant,Dadar,1456730608,,,,2/29/2016,
48,**************,10048,10061,875,Subway,10,Restaurant,Sakinaka,1454689366,,,,2/5/2016,
19,**************,10019,10062,959,KFC,12,Restaurant,Dadar,1455642290,,,,2/16/2016,
6,**************,10006,10063,836,ZARA,11,Fashion,Colaba,1456269766,,,,2/23/2016,
25,**************,10025,10064,951,Dominos,9,Restaurant,Dadar,1457046925,,,,3/3/2016,
19,**************,10019,10065,458,Adoro,11,Fashion,Sion,1455137211,,,,2/10/2016,
44,**************,10044,10066,134,KFC,14,Restaurant,Dombivali,1455612223,,,,2/16/2016,
29,**************,10029,10067,1429,Adoro,12,Fashion,Kalyan,1455203186,,,,2/11/2016,
27,**************,10027,10068,258,Snapdeal,14,Ecommerce,Santa cruz,1455339998,,,,2/13/2016,
34,**************,10034,10069,1041,KFC,10,Restaurant,Powai,1455358793,,,,2/13/2016,
47,**************,10047,10070,1921,YATRA,14,Travel,Sion,1455814496,,,,2/18/2016,
35,**************,10035,10071,754,ZARA,5,Fashion,Powai,1456199878,,,,2/23/2016,
46,**************,10046,10072,716,KFC,10,Restaurant,Bhandup,1456092562,,,,2/21/2016,
19,**************,10019,10073,1025,McDonalds,8,Restaurant,Kalyan,1455592246,,,,2/16/2016,
48,**************,10048,10074,918,Shopclues,8,Ecommerce,Matunga,1455573315,,,,2/15/2016,
29,**************,10029,10075,1116,Adoro,15,Fashion,Mulund,1454665034,,,,2/5/2016,
11,**************,10011,10076,741,KFC,10,Restaurant,Chandivali,1456298079,,,,2/24/2016,
16,**************,10016,10077,220,ZARA,10,Fashion,Mulund,1454348842,,,,2/1/2016,
